,,,,,,,,,
id,N° capteur,N° place,PORT,Check Marion,,Check JL,,,
374,374,23-83,LEUCATE,,,,,,
375,375,23-53,LEUCATE,,,,,,
376,376,23-25,LEUCATE,,,,,,
377,377,23-23,LEUCATE,,,,,,
378,378,23-21,LEUCATE,,,,,,
379,379,23-19,LEUCATE,,,,,,
380,380,23-17,LEUCATE,,,,,,
381,381,23-15,LEUCATE,,,,,,
382,382,23-13,LEUCATE,,,,,,
383,383,23-09,LEUCATE,,,,,,
384,384,23-35,LEUCATE,,,,,,
385,385,23-07,LEUCATE,,,,,,
386,386,23-05,LEUCATE,,,,,,
387,387,23-03,LEUCATE,,,,,,
388,388,23-01,LEUCATE,,,,,,
389,389,M-01,LEUCATE,,,,,,
390,390,,,,,,,,
391,391,M-02,LEUCATE,,,,,,
392,392,M-03,LEUCATE,,,,,,
393,393,M-04,LEUCATE,,,,,,
394,394,M-05,LEUCATE,,,,,,
395,395,M-06,LEUCATE,,,,,,
396,396,M-07,LEUCATE,,,,,,
397,397,,,,,,,,
398,398,M-08,LEUCATE,,,,,,
399,399,M-09,LEUCATE,,,,,,
400,400,23-04,LEUCATE,,,,,,
401,401,M-10,LEUCATE,,,,,,
402,402,M-11,LEUCATE,,,,,,
403,403,M-12,LEUCATE,,,,,,
404,404,M-13,LEUCATE,,,,,,
405,405,M-14,LEUCATE,,,,,,
406,406,M-15,LEUCATE,,,,,,
407,407,M-16,LEUCATE,,,,,,
408,408,M-17,LEUCATE,,,,,,
409,409,M-18,LEUCATE,,,,,,
410,410,M-19,LEUCATE,,,,,,
411,411,M-20,LEUCATE,,,,,,
412,412,M-21,LEUCATE,,,,,,
413,413,M-22,LEUCATE,,,,,,
414,414,M-23,LEUCATE,,,,,,
415,415,M-24,LEUCATE,,,,,,
416,416,M-25,LEUCATE,,,,,,
417,417,M-26,LEUCATE,,,,,,
418,418,M-27,LEUCATE,,,,,,
419,419,M-28,LEUCATE,,,,,,
420,420,M-29,LEUCATE,,,,,,
